Product,Consumer complaint narrative
Credit card,"Ordered item off XXXX using PayPal credit, seller shipped item. Item wasn't shipped to my address, XXXX  tracking number shows wrong town and different person signed for said item. PayPal Credit denied my claim after all this information."
Credit card,On XXXX  XXXX XXXX. My chime credit card was charged at XXXX trip and I started a dispute with XXXX also chime but chime denied my dispute and XXXX couldn't do anything.
Credit card,"Just received unsolicited card. See attached I've been reading about scams increasing this time of year. 
I don't want the card and am very concerned about my personal data the sender already has. 

Please see attached"
Checking or savings account,I went to the bank an couldnt open a saving
"Credit reporting, credit repair services, or other personal consumer reports",I was checking my credit report and I was shocked! Where these accounts came from? I never used them. I dont understand why you put it on my name! I think someone hacked my personal information
Credit card,"I recently discovered several accounts on my credit report that I do not recognize, which I believe are the result of identity theft. The amount reported was {$3300.00}"
"Money transfer, virtual currency, or money service","On XX/XX/2023 I requested XXXX to transfer {$80.00} into my cash app account, I never received the funds."
Credit card,"It's unreasonable, given that I've consistently made payments on this account promptly without any delays. Kindly adjust my account to reflect the correct payment history."
Credit card or prepaid card,See the attached documents. I want the bureau to start the investigation on these accounts that I am never late for but they're reporting me as late.
Credit card,I paid Progress in full and they didn't submit to all bureaus correctly nor in time. They waited a couple of months and left {$1.00} owing.
Credit reporting or other personal consumer reports,"I am writing to dispute an incorrect student loan balance reflected on my credit report with Mohela. The current balance of {$4500.00} is inaccurate. My student loans were forgiven as of XX/XX/2023, under the Biden-Harris Administration 's forgiveness program."
Debt collection,Voicemails on my cell phone stating that there have been serious allegations against my personal information.  That myself or my attorney need to contact them and make a statement today.
"Credit reporting, credit repair services, or other personal consumer reports","Account is showing charge off/settled for less. Account was paid in full and the company agreed to change that status through their law firm. 

This is for both the JC Penny account and Value City."
"Credit reporting, credit repair services, or other personal consumer reports",XX/XX/2019 capital one said I was late 30 days. I wasnt I even pulled up there bank statement showing where Ive paid.
"Payday loan, title loan, personal loan, or advance loan",The interest rate for this loan is predatory. It is over 650 % and I am not able to log in to my online account
Credit card or prepaid card,I see multiple 30-120 days late marks which is a clear violation of my right under the FCRA. The company has never responded to any of my attempts to obtain any proof or documentation that will prove this account is being reported accurately.
Credit card or prepaid card,Received a card not requesting one.
Credit reporting or other personal consumer reports,I paid for serviced with the original creditor ( XXXX XXXX ) and they sent a balance to collections that I do not owe. I believe they have done so in error or have my account confused with another customer.
